ID;Prov;18-Mar;19-Mar;20-Mar;21-Mar;22-Mar;23-Mar;24-Mar;25-Mar;26-Mar;27-Mar;28-Mar;29-Mar;30-Mar;31-Mar;01-Apr;02-Apr;03-Apr;04-Apr;05-Apr;06-Apr;07-Apr;08-Apr;09-Apr;10-Apr;11-Apr;12-Apr;13-Apr;14-Apr;15-Apr;16-Apr;17-Apr;18-Apr;19-Apr;20-Apr;21-Apr;22-Apr;23-Apr;24-Apr;25-Apr;26-Apr;27-Apr;28-Apr;29-Apr;30-Apr;01-May;02-May;03-May;04-May;05-May;06-May;07-May;08-May;09-May;10-May;11-May;12-May;13-May;14-May;15-May;16-May;17-May;18-May;19-May;20-May;21-May;22-May;23-May;24-May;25-May;26-May;27-May;28-May;29-May;30-May;31-May;01-Jun;02-Jun;03-Jun;04-Jun;05-Jun;06-Jun;07-Jun;08-Jun;09-Jun;10-Jun;11-Jun;12-Jun;13-Jun;14-Jun;15-Jun;16-Jun;17-Jun;18-Jun;19-Jun;pop100000;
11;Central Java;8;12;12;14;15;15;19;38;40;43;55;63;81;93;104;104;114;120;120;132;133;140;144;144;144;200;203;278;292;300;304;329;349;351;449;479;538;575;621;649;666;682;711;724;746;767;776;798;849;891;904;933;959;978;980;989;1023;1066;1109;1140;1157;1165;1175;1192;1217;1234;1288;1309;1311;1315;1326;1336;1350;1366;1403;1417;1432;1455;1479;1537;1564;1615;1642;1674;1813;1832;1876;1946;2059;2175;2231;2346;2391;2471;349.401;
12;East Java;8;9;15;26;41;41;51;51;59;66;77;90;91;93;104;104;155;152;188;189;194;196;223;256;267;386;440;475;499;514;522;555;590;590;603;638;664;690;770;785;796;857;872;958;1034;1037;1117;1124;1171;1221;1267;1284;1419;1502;1536;1669;1772;1863;1921;2105;2152;2296;2377;2496;2998;3129;3595;3663;3886;3943;4142;4313;4414;4613;4857;4922;5135;5318;5408;5549;5835;5948;6313;6533;6806;7103;7421;7597;7793;8063;8308;8533;8917;9057;398.863;
13;West Kalimantan;2;2;2;2;2;2;3;3;3;3;3;8;9;9;10;10;10;10;10;12;10;10;10;10;10;13;13;13;13;21;21;21;21;21;27;31;50;50;51;51;51;51;58;58;61;68;70;73;73;90;95;95;118;120;120;123;129;129;129;131;132;132;132;132;133;140;168;168;175;176;183;184;184;184;189;196;196;202;202;205;210;210;210;234;245;245;267;267;268;268;270;282;282;296;51.348;
14;South Kalimantan;0;0;0;0;1;1;1;2;1;1;1;1;5;8;8;8;8;8;16;18;18;22;22;29;29;34;34;37;49;59;74;92;96;96;98;107;114;132;146;146;150;150;157;170;179;179;195;198;212;225;238;246;253;263;263;277;291;294;363;370;372;438;484;547;557;572;590;599;602;630;703;819;893;893;919;948;969;1,033;1,142;1,213;1,247;1,285;1,347;1,438;1,565;1,634;1,694;1,817;1,887;1,953;2,122;2,208;2,326;2,392;43.04;
15;Central Kalimantan;0;0;2;2;2;2;3;3;6;6;7;7;7;9;9;9;12;11;11;20;20;20;20;24;24;24;25;25;33;34;35;41;46;60;67;82;83;94;100;104;112;121;127;145;156;157;157;180;181;186;188;188;189;193;200;204;220;223;227;227;227;227;232;241;254;290;292;308;310;322;330;337;367;398;410;419;428;456;469;484;496;496;504;522;537;552;565;586;586;631;657;702;738;738;27.692;
16;East Kalimantan;1;3;10;9;9;11;11;11;11;11;17;17;17;20;21;21;22;24;30;31;31;32;32;35;35;35;35;35;35;44;44;54;59;63;68;69;74;85;97;105;107;115;119;134;136;154;162;167;168;182;182;209;214;218;225;228;230;238;251;253;254;255;258;264;266;271;274;276;276;277;380;281;285;291;295;297;298;310;316;317;327;329;338;351;362;365;373;376;378;382;392;397;405;417;37.937;
17;North Kalimantan;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;8;8;8;15;15;16;16;16;16;16;16;16;20;28;47;50;69;74;77;77;77;77;83;89;90;92;92;100;115;122;122;130;131;131;131;131;131;131;132;132;138;138;141;153;155;155;160;160;162;163;163;164;164;164;165;165;165;165;165;165;165;165;165;167;168;169;169;170;170;170;170;170;170;170;171;171;171;173;7.68;
18;Riau Islands;1;3;4;4;4;5;5;5;5;5;5;5;6;7;7;7;8;8;9;9;9;9;22;21;21;21;21;26;32;38;58;79;79;79;81;81;83;83;83;85;86;89;89;89;89;89;92;92;97;98;98;100;101;101;104;106;111;111;115;116;116;127;140;140;140;141;150;154;154;154;162;175;178;196;197;197;209;209;219;223;227;228;228;228;228;238;238;239;239;254;254;263;263;263;22.422;
19;Lampung;1;1;1;1;1;1;1;1;3;4;4;4;8;8;8;8;12;11;11;12;12;15;15;20;20;20;21;21;20;25;26;26;26;26;27;27;38;38;38;42;42;44;46;46;50;50;50;54;55;63;63;66;66;66;66;66;66;66;66;66;67;83;84;85;101;105;105;109;116;116;118;118;131;132;133;135;136;136;140;141;143;144;145;148;150;152;153;165;166;166;166;169;171;172;85.212;
20;North Maluku;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;4;4;4;4;4;4;4;12;14;14;14;26;26;26;26;40;41;41;50;50;50;50;50;50;54;54;54;54;78;81;85;88;92;93;95;96;97;99;99;100;107;118;119;128;139;146;153;160;174;176;177;178;185;186;186;190;227;263;285;302;310;312;312;322;343;383;12.788;
21;Maluku;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;11;11;11;14;14;14;17;17;17;17;17;17;17;22;22;22;22;23;23;23;23;23;23;23;23;23;32;32;32;32;50;50;62;62;62;84;107;107;124;135;157;157;159;160;160;170;188;215;215;223;223;223;238;238;254;261;269;307;315;328;328;387;400;421;452;496;520;537;544;18.319;
